N00036633::Abraham, Ralph
N00031877::Bass, Karen
N00037160::Batsche, Christopher
N00039684::Batsche, Christopher
N00038259::Batts, Jason
N00038687::Baucum, Trey
N00038659::Baugh, Scott
N00039586::Bault, David
N00038277::Beagle, Bill
N00038245::Bean, Rowan
N00033904::Beatty, Joyce
N00009774::Becerra, Xavier
N00036936::Beck, Kristin
N00032702::Becker, Francis X Jr
N00037624::Becker, Julie
N00038849::Bedell, Eileen McNeil
N00034073::Bedwell, Danny
N00038827::Beebe, Micah
N00039311::Beechwood, Eric
N00036211::Beers, Bob
N00039108::Beers, Matt
N00039377::Begay, Carlyle
N00038780::Beiler, Chet
N00038559::Beitiks, Mikelis
N00038795::Bell, Adam
N00038636::Bell, Doug
N00039651::Bello, Axel
N00037497::Benedict, Lee
N00031934::Benishek, Dan
N00030608::Bennet, Michael F
N00037514::Bennett, Ken
N00038853::Bennett, LuAnn
N00038782::Bennett, Rob
N00037026::Bensmihen, Joseph
N00038696::Benson-Staebler, David
N00030717::Bera, Ami
N00039533::Bergman, John
N00037017::Bernal, Benny
N00010946::Berns, Jim
N00039309::Berry, Paul III
N00039524::Bertrand, Rick
N00039372::Beruff, Carlos
N00036018::Beyer, Don
N00039293::Biggs, Andy
N00027462::Bilirakis, Gus
N00035718::Bircher, Mark
N00038445::Bishop, Bob
N00039071::Bishop, Christopher Andrew
N00036449::Bishop, Mike
N00025292::Bishop, Rob
N00002674::Bishop, Sanford
N00039577::Bjorn, Arik
N00031539::Black, Diane
N00030082::Black, Phil
N00003105::Blackburn, Marsha
N00039045::Blaha, Robert
N00035971::Blair, Paul
N00009683::Blakley, Will
N00037534::Blatt, Doug
N00039665::Bledsoe, William
N00033744::Blum, Rod
N00007727::Blumenauer, Earl
N00031685::Blumenthal, Richard
N00005981::Blunt, Jeffrey
N00005195::Blunt, Roy
N00039547::Blust, John
N00026756::Bly, Ray
N00038668::Boccarossa, Jack
N00003675::Boehner, John
N00039582::Bohms, Alan
N00031805::Boler, Mark
N00033524::Bolling, Dan
N00033474::Bonamici, Suzanne
N00039164::Bonar, Troy
N00035577::Bonner, Jay Alan
N00033714::Boone, Dan
N00013873::Boozman, John
N00024866::Bordallo, Madeleine Z
N00038418::Borders, Jason D
N00035420::Bost, Mike
N00038708::Bouie, John II
N00026595::Boustany, Charles Jr
N00036594::Bowers, Kerry Dale
N00039031::Bowman, Marcus
N00031440::Boyd, Will
N00038440::Boylan, Patrick
N00035307::Boyle, Brendan
N00039083::Bradell, Kyle
N00038805::Bradshaw, Bill
N00005883::Brady, Kevin
N00001619::Brady, Robert A
N00037262::Brandman, Jordan
N00035371::Brannon, Greg
N00036302::Brannon, Josh
N00036013::Brat, Dave
N00038677::Bratcher, Harold
N00036898::Breu, Tom
N00039688::Brewington, Elton R.
N00033532::Bridenstine, James
N00038682::Brill, Roger Q
N00029524::Broadus, Robert
N00039402::Brock, Andrew
N00039329::Brockmoller, Jennifer
N00039048::Bronson, Daniel J
N00039497::Bronson, Gordon
N00039501::Brookes, Ann
N00038640::Brookins, Howard Jr
N00034126::Brooks, Janis C
N00030910::Brooks, Mo
N00033495::Brooks, Susan
N00028986::Broun, Paul
N00038202::Brown, Anitra
N00036999::Brown, Anthony
N00002713::Brown, Corrine
N00037429::Brown, James P
N00037186::Brown, Liz
N00037254::Brown, Paul
N00037612::Brown, Sakima
N00039713::Brown, Shaun
N00034590::Brown, Steve
N00039093::Brown, Willie
N00034254::Brownley, Julia
N00038602::Bruner, Matthew
N00035231::Brutus, Otto Patrick
N00038791::Bryan, Pat
N00037601::Bryant, Jamal Harrison
N00038725::Bryson, Rick
N00027626::Buchanan, Vernon
N00038860::Buchholz, Myron
N00030829::Buck, Kenneth R
N00039113::Buck, Rob
N00026751::Buckley, Allen
N00031227::Bucshon, Larry
N00039551::Budd, Ted
N00038256::Bullwinkel, Deb
N00038852::Bunch, Bill
N00039175::Bupp, Mitchell Preston
N00039417::Burgess, Jonathan
N00025219::Burgess, Michael
N00036941::Burk, John
N00038680::Burk, John Jr
N00039321::Burkholder, Joshua
N00002221::Burr, Richard
N00034523::Burris, Michael
N00039257::Busch, Mark
N00039373::Bush, Cori
N00037006::Bush, Jeb
N00033390::Bustos, Cheri
N00027035::Butterfield, G K
N00039679::Bydlak, Rebekah Johansen
N00035380::Byrne, Bradley
N00034726::Cadien, Tawana W
N00033505::Caffrey, Andy
N00038607::Caforio, Bryan
N00037057::Cage, Ericke
N00035433::Cain, Emily
N00033255::Callahan, Mark
N00037052::Calone, David L
N00007099::Calvert, Ken
N00039305::Camacho, Felix
N00039478::Campbell, Foster
N00013089::Campbell, Mike
N00033999::Campos, Benjamin
N00039382::Campos, Louie
N00038411::Canada, Mike
N00035515::Cannon, Jerry
N00038436::Cano, Christian
N00038633::Canova, Tim
N00030339::Cao, Joseph
N00000267::Capuano, Michael E
N00033544::Caraway, Barbara Mallory
N00037015::Carbajal, Salud
N00039490::Cardenas, Angel
N00033373::Cardenas, Tony
N00038844::Cardwell, Pat
N00034135::Cargas, James
N00039700::Carlisle, Stephanie
N00039427::Carlton, Todd
N00037623::Carnahan, Weldon
N00030736::Carney, John
N00038600::Caro, Suzanne
N00036120::Carpenter, Douglas
N00032063::Carpenter, Sam
N00007498::Carroll, Jerry Leon
N00037264::Carroll, Morgan
N00029513::Carson, Andre
N00036973::Carson, Ben
N00035346::Carter, Buddy
N00039656::Carter, Dan
N00031188::Carter, Jerry Dean
N00025095::Carter, John
N00034128::Cartwright, Matt
N00039151::Casacio, Stanley
N00034735::Casey, Keith
N00036310::Casteen, J Wesley
N00037252::Castillo, Christopher
N00039562::Castillo, Hector
N00027514::Castor, Kathy
N00038273::Castricone, Dan
N00033316::Castro, Joaquin
N00039707::Casutt, Brandon
N00039531::Cataldo, Chris
N00039542::Caudill, James Williams
N00038676::Caughey, Miles
N00036102::Chabot, Paul
N00003689::Chabot, Steve
N00037300::Chadwick, Bruce
N00009954::Chafee, Lincoln
N00036537::Chaffee, Chris
N00028958::Chaffetz, Jason
N00037271::Chane, Jonathan
N00038268::Chappelle-Nadal, Maria
N00035807::Chavez, Cesar
N00036918::Chavez, Rocky
N00038424::Chelgren, Mark
N00035504::Cheney, Liz
N00036937::Cheng, Xiangfei "Scott"
N00032057::Chicon, Martin
N00032160::Chiu, David Yu-Lin
N00033246::Choi, Jun
N00038702::Christensen, Gordon
N00038864::Christensen, Leland
N00037008::Christie, Chris
N00035603::Christopher, Warren
N00030600::Chu, Judy
N00032019::Cicilline, David
N00025785::Cino, Michael
N00039115::Clark, Kamesha T
N00035278::Clark, Katherine
N00038836::Clark, Mike
N00038739::Clarke, Jonathan
N00026961::Clarke, Yvette D
N00035854::Clawson, Curt
N00012460::Clay, William L Jr
N00025105::Claytor, Chris
N00026790::Cleaver, Emanuel
N00037011::Cleek, N Eugene
N00035306::Clemens, Peter
N00036373::Cleveland, Hosea
N00038705::Clever, Paul
N00000019::Clinton, Hillary
N00002408::Clyburn, James E
N00035426::Coblenz, Michael
N00024753::Coffman, Mike
N00038408::Cohen, Ron
N00003225::Cohen, Steve
N00038717::Coker, Adam
N00036221::Cole, Dave
N00035136::Cole, Michael
N00025726::Cole, Tom
N00036158::Coleman, Bonnie
N00030827::Coleman, Curtis
N00038669::Coleman, Lynn
N00001285::Collins, Chris
N00033518::Collins, Doug
N00035723::Collins, Hayden
N00036997::Collins, Nancy
N00035978::Colliver, Ed
N00038260::Comer, James
N00036023::Comstock, Barbara
N00026041::Conaway, Mike
N00033520::Concepcion, Hector L
N00025431::Condit, Jim Jr
N00035348::Condley, Kerri
N00029941::Conlon, Greg
N00029891::Connolly, Gerry
N00036180::Connolly, Matt
N00039225::Connor, Sean
N00037499::Connors, Thomas
N00004029::Conyers, John Jr
N00038763::Coogan, Bob
N00034224::Cook, Paul
N00037287::Cook, Suzan Johnson
N00039390::Cook, Tamarkus
N00038272::Cook, York
N00038716::Cooke, C L
N00003132::Cooper, Jim
N00038618::Cope, Clay
N00039474::Copeland, Cheryl
N00038678::Corely, Everett
N00039500::Corey, Matthew Mckinnon
N00038287::Corley, Jason
N00038460::Cornelius, Bob
N00039375::Cornell, Phil
N00038793::Cornette, Dave
N00037260::Correa, Lou
N00035994::Corvalan, Ruben
N00026341::Costa, Jim
N00038661::Costello, Fred
N00031064::Costello, Ryan
N00039401::Cotham, Tricia
N00037520::Counsil, Gordon Joe
N00024842::Courtney, Joe
N00039102::Covington, Rachel
N00039521::Cowan, Daniel
N00039537::Cowell, Dave
N00039124::Cox, Dan
N00028137::Coyne, John
N00031142::Cozad, David
N00036906::Crabtree, Valleri
N00038576::Craig, Andy
N00037039::Craig, Angie
N00039711::Craig, Ray
N00004614::Cramer, Kevin
N00035868::Cramer, Robert
N00031893::Crane, Mike
N00006267::Crapo, Mike
N00039419::Crary, Jim
N00030770::Crawford, Rick
N00012739::Crenshaw, Ander 
N00002942::Crist, Charlie
N00001127::Crowley, Joseph
N00039234::Croydon, Elizabeth
N00037156::Crumpton, Ron
N00033085::Cruz, Ted
N00024978::Cuellar, Henry
N00009738::Culberson, John
N00036181::Culler, Anthony
N00037028::Cullerton, Tom
N00001971::Cummings, Elijah E
N00036692::Cummings, Ted
N00039546::Cunningham, Carla
N00035403::Curbelo, Carlos
N00037579::Curran, Pattie
N00037581::Curry, Dianne
N00031118::D'Annunzio, Tim
N00039570::D'Orazio, Tony
N00039564::D'Silva, Reuben
N00036549::Daggett, Doug
N00035563::Dagnesses, Rafael
N00039431::Dahlke, Jeffery J
N00038269::Daly, Kay
N00039154::Darr, Joshua
N00033827::Daugherty, Rick
N00039143::Davenport, Michael D.
N00035880::Davidson, Allen
N00038767::Davidson, Warren
N00036947::Davies, Aaron
N00039520::Davis, Billy
N00035911::Davis, Bruce
N00039683::Davis, Cynthia
N00039235::Davis, D'Nese
N00004884::Davis, Danny K
N00037187::Davis, Dereck
N00034784::Davis, Rodney
N00009604::Davis, Susan A
N00037275::Day, Thomas
N00038274::Deacon, Colleen
N00005930::Dean, Andre
N00039086::DeCailly, Paul
N00037299::Deeb, Gregory
N00007781::DeFazio, Peter
N00006134::DeGette, Diana
N00037231::Del Beccaro, Tom
N00038845::Del Rosso, Michael
N00034589::Del Vecchio, Kenneth
N00033897::Delaney, John K
N00000615::DeLauro, Rosa L
N00030693::DelBene, Suzan
N00039561::Delgado, Eloy
N00034210::Demare, Joe
N00037596::Demaree, Angela
N00038713::Deming, Robert
N00033449::Demings, Val
N00031593::Denham, Jeff
N00037293::Denham, Joe
N00003534::Dennerll, Norbert G Jr
N00026171::Dent, Charlie
N00038280::Derickson, Tim
N00038247::Derlet, Robert
N00037406::Derrick, Mike
N00034746::DeSantis, Ron
N00030709::Desaulnier, Mark
N00030957::Desjarlais, Scott
N00038862::Detch, Matt
N00039296::Detert, Ryan
N00036934::Detzel, Denis
N00038254::Deuser, August
N00031317::Deutch, Ted
N00035064::DeVore, Bob Jr
N00039685::Dew, H Powell
N00039160::Deweese, Calvin
N00035121::Diaz, Antonio
N00025337::Diaz-Balart, Mario
N00038406::DiChihara, Larry
N00038255::Dicianni, Peter
N00038198::Dickerson, John Martin
N00038464::Dickinson, Mike
N00039224::Dickson, Freddie
N00036149::Dingell, Debbie
N00037621::Dittmar, Jane
N00039664::Dixon, Thomas
N00006023::Doggett, Lloyd
N00031103::Dold, Bob
N00035401::Domino, Carl
N00039380::Donnelly, Tim
N00036928::Donovan, Dan
N00039231::Dorsey, Greg
N00039508::Dosev, Cris
N00033568::Douglas, Richard
N00001373::Doyle, Mike
N00038645::Drabik, Gerald "Jerry"
N00039101::Drake, Ron
N00036938::Driskell, Gretchen
N00027860::Duckworth, Tammy
N00038726::Duffie, Ryan
N00030967::Duffy, Sean P
N00030752::Duncan, Jeff
N00037165::Duncan, Jim
N00003209::Duncan, John J Jr
N00037516::Dunn, Joseph
N00037442::Dunn, Neal
N00038777::Duome, Marc
N00030273::Eckhart, Don
N00036508::Edwards, Adrienne
N00039290::Edwards, Derrick
N00028249::Edwards, Donna
N00035313::Eggman, Michael
N00036920::Ehler, Charles
N00038441::Eisenbach, David
N00038194::Eldridge, Conner
N00038810::Elizondo, Dolly
N00036527::Ellison, Allen
N00038684::Ellison, Greg
N00028257::Ellison, Keith
N00031513::Ellmers, Renee
N00037234::Emanuele, James
N00037404::Emery, Ed
N00035440::Emmer, Tom
N00001003::Engel, Eliot L
N00037592::Enyia, Amara
N00037282::Ervin, Valerie
N00007335::Eshoo, Anna
N00034549::Espaillat, Adriano
N00038800::Espinoza, Maria
N00009226::Estrada, John
N00033217::Esty, Elizabeth
N00038731::Evans, Chip
N00038450::Evans, Dwight
N00006700::Evans, Mervin
N00033521::Evans, Richard
N00039265::Evans, Robert Anthony Jr
N00039255::Evans, Robert S
N00030359::Everhart, John
N00039676::Evers, Greg
N00039112::Eze, Nnabu
N00037449::Faddis, Sam
N00038420::Fahmy, Fatima Rita
N00039589::Fairbanks, Chadwick III
N00035705::Fareed, Justin
N00031672::Farenthold, Blake
N00007312::Farr, Sam
N00039096::Farrar, Ryan
N00037288::Faso, John
N00001746::Fattah, Chaka
N00039222::Fayard, Caroline
N00039550::Feather, Kathleen
N00038787::Fedalei, Chris
N00038760::Feerer, Donald
N00039088::Feigenbaum, Marty
N00000036::Feingold, Russ
N00004663::Fellows, Mike
N00039090::Ferguson, Drew
N00039692::Ferguson, Mazie
N00038783::Ferrer, Hector
N00038201::Fetterman, John
N00001862::Ficker, Robin
N00031167::Fiegen, Tom
N00038792::Filak, Michael
N00031141::Fincher, Steve
N00032335::Fiore, Michele
N00031348::Fiorina, Carly
N00039299::Fischella, Tyler R
N00038817::Fisher, Sharon
N00038779::Fitzpatrick, Brian
N00034317::Fitzpatrick, Roger
N00039408::Flanagan, Jack
N00030815::Fleischmann, Chuck
N00029679::Fleming, John
N00031656::Flinn, George S Jr
N00031545::Flores, Bill
N00037190::Flores, Lucy
N00037412::Flowers, Margaret
N00036989::Flynn, Michael
N00037164::Flynn, Mike
N00038609::Flynn, Sean
N00039116::Fogg, Matthew
N00038766::Foister, Corey
N00038649::Folkner, Sadona M
N00037295::Follweiler, Archie
N00025345::Fonua, Stoney
N00013799::Forbes, Randy
N00038789::Forest, Dylan
N00039263::Forlini, Anthony
N00026631::Fortenberry, Jeff
N00029139::Foster, Bill
N00037297::Fowler, Steven
N00038613::Fox, Randy
N00039525::Fox, Shizandra
N00039512::Foxx, David
N00026166::Foxx, Virginia
N00002893::Frankel, Lois J
N00006423::Franks, Trent
N00035625::Fraser, Aaron
N00031381::Fraser, William
N00039388::Frazier, Brian Wayne
N00030759::Frazier, Ryan
N00035223::Freeman, April
N00037408::Freeman, Mark
N00000684::Frelinghuysen, Rodney
N00026344::Fritz, Jim
N00030490::Fudge, Marcia L
N00033281::Gabbard, Tulsi
N00039503::Gaetz, Matt
N00039579::Gaither, Larry
N00033934::Galdo, Joseph F
N00037166::Gallagher, Mike
N00039330::Gallagher, Mike
N00038804::Gallaher, Scot
N00033541::Gallego, Pete
N00036097::Gallego, Ruben
N00039126::Galloway, Charles
N00037588::Galloway, GG
N00037184::Galloway, Pam
N00035324::Gamble, Venice Jaymes II
N00035624::Gandolfo, Angela Marie
N00039694::Gant, Chad
N00030856::Garamendi, John
N00038832::Garcia, Adrian
N00038831::Garcia, Dominique
N00038456::Garrett, Greg
N00036353::Garrett, Janet
N00000743::Garrett, Scott
N00038847::Garrett, Tom
N00038786::Garves, Ben
N00038833::Garza, Julio
N00039669::Gaskill, William R.
N00036716::Gaskins, Samuel Lewis
N00039505::Gazlay, Rich
N00037614::Geissinger, Glenn
N00037000::Gentile, Vinnie
N00038278::George, Scott
N00038244::Gerritson, Becky
N00034896::Gerson, David
N00039105::Geymann, Brett
N00031128::Gibbs, Bob
N00038658::Gibson, Charlotte
N00036084::Gibson, Mark
N00038283::Gigliotti, Lou
N00039035::Gilbert, Frank
N00037524::Gilbert, Melissa
N00039412::Gilder, Lawrence
N00038195::Gildersleeve, Tim
N00036982::Giles, Dave
N00038710::Giles, Jimmy
N00026221::Gill, David
N00028961::Gilmore, Jim
N00038258::Giroux, Dan
N00038412::Gitsham, Denise
N00038714::Gladney Mark
N00037309::Gladstone, Steve
N00036919::Glenn, Darryl
N00038270::Glidewell, Pete
N00034065::Gluck, George
N00036129::Godfrey, Curtis
N00038560::Godwin, Mary Elisabeth
N00036137::Goff, Jonathan
N00026148::Gohmert, Louis B Jr
N00038451::Golderer, Bill
N00039145::Goldstein, Beverly A.
N00036950::Gonzales, Regino James
N00038423::Gonzalez, Evelio
N00039714::Gonzalez, Jackee Mrs.
N00037615::Gonzalez, Jenniffer
N00038840::Gonzalez, Rey Jr
N00038703::Gonzalez, Travis
N00038809::Gonzalez, Vicente
N00009154::Goodlatte, Bob
N00038434::Googe, Sue
N00036342::Goossen, David
N00031527::Gordon, Brian A
N00038753::Gordon, Dave
N00030771::Gosar, Paul
N00036944::Gottheimer, Josh
N00039057::Gould, James
N00039162::Gourdoux, Mary L
N00039300::Gouron, Max
N00038407::Gowan, David
N00030880::Gowdy, Trey
N00038421::Grabelle, Justin
N00037050::Gradert, Jamieson
N00035688::Graham, Gwen
N00039220::Graham, Jack
N00035449::Graham, Malcolm
N00036533::Grandanette, Joe
N00008799::Granger, Kay
N00036123::Grant, Kevin
N00037407::Grant, Kevin Jay
N00001758::Grassley, Chuck
N00036135::Graves, Garret
N00013323::Graves, Sam
N00030788::Graves, Tom
N00037259::Gray, Casey
N00039052::Gray, Jim
N00039153::Gray, Phil
N00028418::Grayson, Alan
N00035476::Grayson, Derrick
N00002776::Grayson, Richard
N00036140::Graziani, John
N00026686::Green, Al
N00005870::Green, Gene
N00039039::Greene, Russell
N00039183::Greene, Ryan
N00039325::Greer, Brad
N00037192::Gregory, DuWayne
N00031977::Gregory, Jeff
N00039038::Grey, Clive
N00039269::Gribben, Wendy
N00039597::Griego, Harry
N00039575::Grier, Michael Jr
N00038566::Griffin, Kevin
N00035683::Griffin, Taylor
N00032029::Griffith, Morgan
N00025284::Grijalva, Raul M
N00037447::Grimsley, Warren
N00029400::Grisham, Michelle Lujan
N00039073::Groen, Ross
N00036409::Grothman, Glenn S
N00032386::Guild, Tom
N00038686::Guillory, Elbert
N00030801::Guinta, Frank
N00039067::Gumina, Tony
N00037611::Gurfein, David
N00029675::Guthrie, Brett
N00037568::Guthrie, Sean
N00004874::Gutierrez, Luis V
N00037176::Gutzeit, Maria
N00039494::Guzman, David
N00038279::Haemmerle, Eric
N00012485::Hagan, Bob
N00038452::Haggerty, Edward
N00039050::Hale, John David
N00033277::Hall, Isadore
N00038796::Hall, Ray
N00039104::Hall, Robert
N00035461::Halvorson, Art
N00028141::Hamilton, Eddie
N00030197::Hanna, Richard
N00038646::Hantsch, Joseph J
N00037591::Hardiman, Tio
N00038435::Hardin, Chris
N00038830::Hardin, Zeffen
N00035628::Hardy, Cresent
N00038667::Harlan, Patrick
N00039077::Harlow, Bob
N00029632::Harper, Gregg
N00037194::Harrington, John IV
N00029147::Harris, Andy
N00028517::Harris, James
N00036915::Harris, Kamala D
N00035491::Harris, Mark
N00035201::Harris, Napoleon
N00029521::Harris, Thomas E
N00037296::Hartman, Christina
N00031005::Hartzler, Vicky
N00027939::Hassan, Ahmad
N00038397::Hassan, Maggie
N00002884::Hastings, Alcee L
N00039527::Haugen, Isaac
N00039428::Hawks, Joel
N00037530::Hawks, Paula
N00035173::Hayes, Chris
N00037528::Heaney, Andrew
N00039312::Heard, Craig P.
N00031557::Heck, Dennis
N00031244::Heck, Joe
N00039721::Heck, Thomas
N00039109::Heine, Bill
N00039407::Heineman, Lisa
N00039418::Heinrich, Brian
N00033979::Heinz, Matt
N00038267::Helland, Bob
N00036304::Henley, Gardenia
N00039548::Henning, Hank
N00024922::Hensarling, Jeb
N00026505::Hermanson, Barry
N00038610::Hernandez, Roger
N00038850::Hernick, Charles
N00031559::Herrera Beutler, Jaime
N00032243::Hice, Jody B
N00031478::Hicks, Angela
N00038589::Hicks, Kerry
N00038615::Hidalgo, Juan
N00027060::Higgins, Brian M
N00039689::Hight, Steven E.
N00003875::Hill, Baron
N00039155::Hill, Christopher
N00035792::Hill, French
N00037272::Hill, Randal
N00036312::Hill, Tom
N00029070::Himes, Jim
N00039666::Hinkle, Jim
N00006008::Hinojosa, Ruben
N00038700::Hinson, Amanda Lynn
N00039266::Hird, Diana
N00039488::Hodges, Robert
N00037451::Hoeber, Amie
N00039120::Hoenig, Myles B
N00031688::Hoeven, John
N00039606::Hoffman, Ralph
N00038396::Hogg, Rob
N00039530::Hohe, Steve
N00038692::Holbrook, Mark
N00037159::Holcomb, Eric
N00039681::Holden, Kip
N00033399::Holding, George
N00003754::Holland, George
N00037044::Holliday, Ed
N00038429::Hollingsworth, Trey
N00038415::Holloway, Lashonda
N00034227::Holmes, Greg
N00039063::Homquist, Larry
N00012611::Honda, Mike
N00039061::Hooe, Joey
N00039563::Horne, Fred
N00038453::Horne, Jenny
N00034596::Horne, Tom
N00038616::Horst, John
N00036091::Hosta, John
N00037427::Houchin, Erin
N00039051::Houlihan, Rory
N00036914::House, Phillip
N00037002::Howard, Albert
N00037450::Howard, Frank
N00039552::Howard, Julia
N00038266::Howe, John
N00039095::Howell, Kevin
N00038644::Howland, Amanda
N00001821::Hoyer, Steny H
N00007539::Huckabee, Mike
N00039663::Hudock, Brandon Gene
N00033630::Hudson, Richard
N00027649::Huelskamp, Tim
N00038603::Huerta, Emilio
N00033030::Huffman, Jared
N00039308::Hughes, Dave
N00030673::Huizenga, Bill
N00031104::Hultgren, Randy
N00009768::Hunt, Mark
N00029258::Hunter, Duncan D
N00031417::Hurd, Will
N00039140::Hurley, Russ
N00038718::Hurst, David
N00031265::Hurt, Robert
N00038788::Hyman, Mal
N00005963::Idrogo, Michael
N00037398::Invictus, Augustus Sol
N00038690::Ireton, Jim
N00039554::Iron Eyes, Chase
N00039292::Isaacson, Steve
N00002593::Isakson, Johnny
N00036499::Isakson, Steve
N00039693::Isner, Bob
N00013345::Israel, Steve
N00007017::Issa, Darrell
N00033749::Ivey, Glenn
N00031603::Izzo, Rose
N00005818::Jackson Lee, Sheila
N00038770::Jackson, Jarrin
N00039107::Jackson, Sean
N00038438::Jacob, Peter
N00037182::Jacobson, Oren
N00034192::Jaffe, Ralph
N00025152::Jameson, Scott
N00033660::Jaquess, Don
N00037037::Jawando, Will
N00038858::Jayapal, Pramila
N00038596::Jefferson, Jrmar
N00033640::Jeffries, Hakeem
N00035531::Jenkins, Evan
N00029077::Jenkins, Lynn
N00039262::Jenkins, Oliver
N00039429::Jhaveri, Arun
N00026786::Jindal, Bobby
N00038685::John, Rick
N00030850::John, Rob
N00032088::Johnson, Bill
N00039099::Johnson, Chuck
N00039141::Johnson, Daniel
N00008122::Johnson, Eddie Bernice
N00033226::Johnson, Gary
N00027848::Johnson, Hank
N00036081::Johnson, Johnny
N00037283::Johnson, Lon
N00039106::Johnson, Mike
N00032546::Johnson, Ron
N00008028::Johnson, Sam
N00039543::Johnson, Todd
N00039701::Johnston, Gary L
N00035717::Jolly, David
N00039091::Jones, Andrew
N00004855::Jones, Art
N00031580::Jones, James
N00036457::Jones, Jeff
N00039125::Jones, Jeffrey W
N00035791::Jones, Lateresa
N00039068::Jones, Rafael Arden Sr
N00038597::Jones, Scott
N00036992::Jones, Starner
N00039066::Jones, Tom
N00002299::Jones, Walter B Jr
N00027894::Jordan, Jim
N00035007::Joyce, David P
N00039658::Judge, Patty
N00038433::Juneau, Denise
N00039302::Jusick, James
N00038743::Kaiman, Jon
N00039322::Kairnes, Jerry
N00006887::Kalemkarian, Timothy Charles
N00036922::Kander, Jason
N00038738::Kaplan, Anna
N00003522::Kaptur, Marcy
N00009778::Kasich, John
N00039111::Kasprzak, Kristin
N00039415::Kastenbaum, Diana
N00035934::Katko, John
N00033516::Kaufman, Joe
N00039177::Kay, David
N00039559::Keady, Jim
N00038611::Kealy, Dwight
N00031933::Keating, Bill
N00038823::Keenen, Lee
N00037401::Kefalas, Chrys
N00037289::Kehoe, John
N00036907::Keith, Pam
N00009614::Keller, Ric
N00031647::Kelly, Mike
N00035215::Kelly, Robin
N00037003::Kelly, Trent
N00035976::Kelsey, Bill
N00039152::Kelsey, Brian
N00038681::Kemper, Nancy Jo
N00034394::Kendall, Jason
N00039053::Kender, Jeff
N00034044::Kennedy, Joe III
N00026823::Kennedy, John
N00039130::Kern, Aliena Jeanene
N00003777::Kern, Bob
N00039121::Kersey, Andre
N00038819::Key, John
N00001885::Keyes, Alan
N00039046::Keyser, Jon
N00038732::Khal, Sami
N00026427::Khanna, Ro
N00037029::Khouri, Tonia
N00039470::Khoury, Anton
N00038719::Kiball, Teiji
N00035555::Kiehne, Gary
N00033530::Kihuen, Ruben
N00033395::Kildee, Dan
N00034453::Kilmer, Derek
N00039712::Kimmons, Ronald
N00004403::Kind, Ron
N00039304::King, Brent
N00001193::King, Pete
N00025237::King, Steven A
N00038757::King, Terri
N00037291::Kingson, Eric
N00037174::Kinlaw, Michael
N00030667::Kinzinger, Adam
